,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
0,0,2021-11-08,819.0,840.0,779.849976,832.849976,828.975403,11974709
1,1,2021-11-09,835.0,858.0,834.0,856.0,852.017761,9656004
2,2,2021-11-10,856.0,866.0,847.0,849.849976,845.896301,6275409
3,3,2021-11-11,849.0,856.0,835.0,847.299988,843.358215,4924717
4,4,2021-11-12,853.0,876.0,847.0,864.849976,860.826538,9255302
5,5,2021-11-15,877.950012,923.0,869.0,903.400024,899.197266,21402501
6,6,2021-11-16,915.799988,929.0,911.349976,921.049988,916.765137,9298944
7,7,2021-11-17,925.0,928.700012,900.099976,903.599976,899.396301,7189458
8,8,2021-11-18,903.5,905.900024,871.099976,890.650024,886.506592,7714073
9,9,2021-11-22,912.0,919.700012,872.349976,886.75,882.624695,11376478
10,10,2021-11-23,877.0,897.599976,872.599976,892.799988,888.646545,6078636
11,11,2021-11-24,898.0,901.700012,853.099976,862.799988,858.786072,7679846
12,12,2021-11-25,863.0,874.5,835.650024,865.549988,861.523315,9169669
13,13,2021-11-26,849.0,854.950012,820.0,823.049988,819.221008,10211011
14,14,2021-11-29,786.0,801.0,750.549988,775.799988,772.190857,13888743
15,15,2021-11-30,790.299988,819.900024,787.599976,795.150024,791.450867,37176726
16,16,2021-12-01,809.0,817.0,796.349976,811.950012,808.172668,6448797
17,17,2021-12-02,815.25,825.0,803.0,821.25,817.429443,4869021
18,18,2021-12-03,819.0,831.450012,810.0,819.900024,816.085693,4777395
19,19,2021-12-06,815.0,819.5,798.200012,801.400024,797.671753,4473930
20,20,2021-12-07,809.950012,829.799988,807.0,823.049988,819.221008,4528051
21,21,2021-12-08,830.5,856.700012,829.049988,851.400024,847.439209,7190775
22,22,2021-12-09,856.0,863.0,841.549988,856.849976,852.86377,5118754
23,23,2021-12-10,851.0,869.950012,850.0,857.950012,853.958679,4358630
24,24,2021-12-13,862.5,878.200012,856.25,858.700012,854.7052,4485978
25,25,2021-12-14,860.0,860.0,843.0,855.049988,851.072144,3374432
26,26,2021-12-15,851.200012,867.400024,848.0,851.200012,847.240112,2762485
