,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-14,125.199997,148.759995,125.0,145.550003,143.656998,226353035
1,2019-10-15,147.199997,149.479996,139.210007,142.630005,140.774979,52650205
2,2019-10-16,142.800003,144.199997,139.649994,140.130005,138.30748,17381530
3,2019-10-17,140.020004,146.600006,137.429993,144.860001,142.975952,25164650
4,2019-10-18,145.0,157.979996,143.210007,155.830002,153.803314,48666150
5,2019-10-22,157.389999,173.350006,156.199997,168.940002,166.742783,46733940
6,2019-10-23,173.199997,181.979996,173.199997,180.059998,177.718155,45116345
7,2019-10-24,184.990005,190.699997,172.529999,180.410004,178.063599,59356565
8,2019-10-25,181.0,183.199997,175.199997,179.809998,177.47139,19247675
9,2019-10-27,182.199997,185.0,179.0,181.539993,179.178894,6711285
10,2019-10-29,181.399994,181.479996,175.729996,176.619995,174.322891,10118740
11,2019-10-30,176.199997,184.0,176.169998,178.089996,175.773773,16381015
12,2019-10-31,180.0,181.539993,175.399994,176.339996,174.046555,9198590
13,2019-11-01,177.0,181.589996,176.619995,178.100006,175.783661,9411150
14,2019-11-04,179.0,179.600006,176.050003,176.690002,174.391983,4195835
15,2019-11-05,177.339996,181.399994,174.259995,176.300003,174.00705,10190335
16,2019-11-06,177.0,179.0,176.199997,176.860001,174.559769,4950450
17,2019-11-07,177.800003,178.399994,176.020004,176.300003,174.00705,3875510
18,2019-11-08,175.949997,178.199997,174.460007,175.380005,173.09903,4743845
19,2019-11-11,177.199997,188.669998,176.800003,186.580002,184.153336,27509375
20,2019-11-13,191.0,196.179993,180.639999,186.410004,183.985565,30872350
21,2019-11-14,183.0,189.399994,179.399994,181.460007,179.099945,14336980
22,2019-11-15,184.0,187.960007,180.399994,185.639999,183.225586,15970190
23,2019-11-18,186.820007,187.580002,183.410004,184.429993,182.031311,5720000
24,2019-11-19,184.550003,184.800003,180.0,180.509995,178.162308,5522965
25,2019-11-20,181.800003,183.399994,178.0,179.139999,176.810135,6322985
26,2019-11-21,179.600006,181.199997,176.020004,176.960007,174.658478,6485590
27,2019-11-22,177.800003,177.800003,174.479996,175.179993,172.901611,3738365
28,2019-11-25,175.800003,178.0,174.619995,176.429993,174.135376,3437825
29,2019-11-26,177.399994,179.0,175.100006,175.740005,173.454346,3971740
30,2019-11-27,176.220001,178.199997,176.0,176.649994,174.352524,2933130
31,2019-11-28,176.990005,177.559998,175.619995,176.490005,174.194595,2078740
32,2019-11-29,176.429993,183.740005,175.600006,179.449997,177.116089,8998765
33,2019-12-02,180.399994,180.570007,175.630005,176.210007,173.918228,2332100
34,2019-12-03,177.199997,177.800003,174.199997,175.0,172.723953,2754285
35,2019-12-04,174.399994,177.0,172.460007,174.820007,172.54631,3705230
36,2019-12-05,175.899994,177.779999,174.399994,175.190002,172.911514,2634880
37,2019-12-06,175.399994,175.729996,173.630005,174.470001,172.200867,1776855
38,2019-12-09,175.309998,175.309998,172.830002,173.479996,171.223724,1771245
39,2019-12-10,173.960007,173.960007,171.059998,172.179993,169.940628,1974045
40,2019-12-11,172.779999,173.990005,171.100006,172.929993,170.680878,2205205
41,2019-12-12,173.0,175.600006,172.020004,173.979996,171.717224,1451385
42,2019-12-13,174.850006,180.679993,174.020004,178.100006,175.783661,7002525
43,2019-12-16,178.899994,178.899994,176.429993,177.339996,175.033554,1780960
44,2019-12-17,177.800003,179.699997,176.600006,177.350006,175.043396,2816655
45,2019-12-18,177.360001,177.5,174.660004,175.070007,172.793045,1424660
46,2019-12-19,174.440002,175.199997,173.240005,173.940002,171.677765,1513725
47,2019-12-20,174.800003,174.800003,173.100006,173.369995,171.115173,1306000
48,2019-12-23,173.600006,174.0,172.199997,172.949997,170.700638,1641045
49,2019-12-24,177.0,179.960007,175.039993,177.509995,175.201324,12020790
50,2019-12-26,177.199997,177.600006,174.899994,175.380005,173.09903,1962805
51,2019-12-27,176.389999,177.080002,175.399994,176.119995,173.829376,2102615
52,2019-12-30,177.050003,187.490005,176.660004,185.229996,182.820908,15237855
53,2019-12-31,186.399994,190.940002,184.259995,186.690002,184.261917,19445900
54,2020-01-01,188.380005,190.770004,186.960007,188.869995,186.413574,8593275
55,2020-01-02,188.800003,188.800003,185.410004,186.080002,183.659851,3287655
56,2020-01-03,185.600006,188.699997,185.509995,186.279999,183.857269,4342850
57,2020-01-06,185.399994,185.410004,178.020004,178.889999,176.56337,3923670
58,2020-01-07,179.399994,184.300003,179.399994,181.479996,179.11969,3486795
59,2020-01-08,179.800003,180.520004,177.259995,179.229996,176.898972,2770350
60,2020-01-09,182.070007,184.119995,182.0,182.729996,180.353424,2997000
61,2020-01-10,182.399994,185.479996,181.729996,183.449997,181.064056,2543885
62,2020-01-13,184.0,188.559998,183.210007,187.830002,185.3871,3914925
63,2020-01-14,189.0,196.740005,188.410004,194.830002,192.296066,14487235
64,2020-01-15,195.600006,199.199997,194.770004,197.080002,194.5168,8562850
65,2020-01-16,196.960007,201.669998,196.949997,200.729996,198.119308,7607070
66,2020-01-17,202.0,205.0,202.0,204.369995,201.71199,5496735
67,2020-01-20,205.440002,205.639999,197.610001,198.669998,196.086136,4438240
68,2020-01-21,198.479996,198.880005,195.600006,196.550003,193.993698,2882445
69,2020-01-22,198.0,201.199997,197.399994,199.369995,196.777008,2970515
70,2020-01-23,199.720001,200.149994,197.800003,199.100006,196.510529,1633700
71,2020-01-24,200.0,202.520004,198.419998,200.539993,197.931778,2432850
72,2020-01-27,200.380005,203.490005,199.0,201.520004,198.899048,2760640
73,2020-01-28,202.720001,211.979996,202.029999,209.740005,207.012146,6514465
74,2020-01-29,214.5,225.979996,212.699997,223.279999,220.376038,14390900
75,2020-01-30,226.559998,232.800003,223.210007,227.429993,224.472061,19073065
76,2020-01-31,230.419998,247.0,229.210007,242.059998,238.911789,16631450
77,2020-02-03,238.869995,252.600006,237.210007,250.169998,246.91629,14263290
78,2020-02-04,258.0,287.600006,257.200012,282.529999,278.855438,32973625
79,2020-02-05,291.399994,309.559998,288.200012,301.709991,297.78598,54801510
80,2020-02-06,306.399994,312.600006,294.399994,300.859985,296.947021,27968115
81,2020-02-07,300.0,305.600006,296.399994,302.700012,298.763123,11897055
82,2020-02-10,304.779999,307.600006,293.200012,296.040009,292.189758,14954080
83,2020-02-11,299.040009,301.0,275.720001,281.600006,277.937531,14445050
84,2020-02-12,279.0,290.0,270.0,283.049988,279.368683,26712510
85,2020-02-13,316.700012,321.959991,303.070007,316.070007,311.959259,56906935
86,2020-02-14,319.799988,320.779999,309.720001,311.480011,307.428925,16647740
87,2020-02-17,312.980011,313.0,302.0,303.730011,299.779724,7844795
88,2020-02-18,303.0,329.600006,297.0,327.720001,323.457733,37932555
89,2020-02-19,333.26001,374.540009,331.679993,366.380005,361.614929,66560220
90,2020-02-20,374.0,395.399994,372.410004,386.01001,380.989594,60260010
91,2020-02-24,380.0,397.980011,362.399994,384.700012,381.674164,49287130
92,2020-02-25,384.660004,398.799988,383.399994,390.390015,387.319397,28821120
93,2020-02-26,391.799988,396.73999,388.0,390.329987,387.259857,18443625
94,2020-02-27,393.399994,394.0,377.76001,381.880005,378.876343,17376895
95,2020-02-28,368.399994,373.179993,346.26001,348.76001,346.016846,25451290
96,2020-03-02,362.0,374.73999,327.290009,344.649994,341.939178,24522045
97,2020-03-03,354.0,361.799988,337.309998,347.859985,345.123901,21576015
98,2020-03-04,350.399994,353.0,313.079987,313.079987,310.617462,22030465
99,2020-03-05,301.399994,304.98999,282.220001,286.170013,283.919159,38036670
100,2020-03-06,271.869995,271.869995,271.869995,271.869995,269.731598,1160040
101,2020-03-09,258.279999,258.279999,258.279999,258.279999,256.248505,675325
102,2020-03-11,245.369995,271.190002,245.369995,257.070007,255.04805,20419620
103,2020-03-12,244.220001,244.220001,244.220001,244.220001,242.299103,677425
