,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
0,0,2021-11-08,134.089996,134.764999,130.610001,134.324997,59.709469,54936670
1,1,2021-11-09,134.285004,136.029999,132.884995,133.595001,59.384979,47565160
2,2,2021-11-10,132.800003,132.899994,128.710007,129.854996,57.722488,118804170
3,3,2021-11-11,130.490005,132.449997,128.835007,129.960007,57.769165,136638600
4,4,2021-11-12,134.0,134.0,127.110001,128.725006,57.220192,232395580
5,5,2021-11-15,129.5,129.899994,124.150002,124.544998,55.362114,121082150
6,6,2021-11-16,124.544998,126.105003,122.370003,122.879997,54.621998,123148800
7,7,2021-11-17,122.5,123.739998,121.510002,122.004997,54.233047,87802040
8,8,2021-11-18,122.360001,122.830002,118.199997,118.660004,52.746147,101083510
9,9,2021-11-22,118.809998,119.68,114.599998,116.504997,51.788212,96210010
10,10,2021-11-23,116.805,120.900002,116.514999,119.205002,52.988407,93829630
11,11,2021-11-24,120.040001,120.294998,117.114998,117.849998,52.386089,67671010
12,12,2021-11-25,118.0,118.660004,116.599998,117.364998,52.170498,47502860
13,13,2021-11-26,115.790001,115.949997,110.625,111.230003,49.443401,106455260
14,14,2021-11-29,111.230003,113.699997,107.504997,111.474998,49.552303,93929910
15,15,2021-11-30,111.095001,112.790001,106.300003,107.120003,47.616444,133559840
16,16,2021-12-01,109.199997,109.699997,106.650002,108.254997,48.120968,93791140
17,17,2021-12-02,108.300003,111.599998,107.400002,111.239998,49.447842,91286810
18,18,2021-12-03,111.5,113.419998,110.224998,111.800003,49.696774,100737840
19,19,2021-12-06,111.400002,114.099998,110.220001,110.879997,49.287819,82159400
20,20,2021-12-07,112.110001,115.555,112.099998,114.879997,51.06588,85053900
21,21,2021-12-08,115.900002,117.699997,114.900002,117.300003,52.141605,74485010
22,22,2021-12-09,118.199997,118.199997,115.900002,117.684998,52.312744,52123940
23,23,2021-12-10,117.345001,118.889999,116.760002,118.0,52.452766,48121300
24,24,2021-12-13,118.800003,119.900002,116.165001,116.529999,51.799328,53537780
25,25,2021-12-14,115.894997,117.790001,114.699997,116.720001,51.883789,53522640
26,26,2021-12-15,117.004997,117.559998,114.900002,115.404999,51.299248,44308330
